Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
unique marker genes,SCINH1,388,67,10,57,14.93
unique marker genes,VSMCA,726,86,12,74,13.95
unique marker genes,NFOL1,1035,92,5,87,5.43
unique marker genes,TEGLU22,34,44,31,13,70.45
unique marker genes,MEGLU2,25,20,13,7,65.0
unique marker genes,DEGLU2,535,57,2,55,3.51
unique marker genes,TEGLU3,3649,73,3,70,4.11
unique marker genes,OBNBL1,9,13,12,1,92.31
unique marker genes,HBINH6,6,15,15,0,100.0
unique marker genes,MOL1,3609,147,19,128,12.93
unique marker genes,PER1,320,103,26,77,25.24
unique marker genes,COP1,317,73,16,57,21.92
unique marker genes,HBNOR,52,71,40,31,56.34
unique marker genes,MEGLU5,337,18,2,16,11.11
unique marker genes,ENMFB,29,23,22,1,95.65
unique marker genes,SCINH3,936,31,4,27,12.9
unique marker genes,SCGLU4,106,20,10,10,50.0
unique marker genes,OBINH5,264,37,6,31,16.22
unique marker genes,SCGLU6,18,23,21,2,91.3
unique marker genes,SCINH10,672,28,1,27,3.57
unique marker genes,OBNBL2,44,8,5,3,62.5
unique marker genes,SCINH6,54,22,12,10,54.55
unique marker genes,TEINH17,1013,16,2,14,12.5
unique marker genes,HYPEP5,55,29,23,6,79.31
unique marker genes,TEINH2,13,37,32,5,86.49
unique marker genes,TEINH1,91,38,15,23,39.47
unique marker genes,PER3,7,29,29,0,100.0
unique marker genes,OBNBL4,15,40,35,5,87.5
unique marker genes,MSN6,483,43,6,37,13.95
unique marker genes,HBGLU5,463,14,1,13,7.14
unique marker genes,DGGRC2,1389,73,6,67,8.22
unique marker genes,RGDG,57,40,30,10,75.0
unique marker genes,SCGLU1,180,44,16,28,36.36
