Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
unique marker genes,MEGLU10,98,15,9,6,60.0
unique marker genes,MSN1,75,59,31,28,52.54
unique marker genes,OBNBL5,52,55,39,16,70.91
unique marker genes,TEINH6,179,23,4,19,17.39
unique marker genes,TEGLU2,564,15,2,13,13.33
unique marker genes,PSPEP1,24,29,23,6,79.31
unique marker genes,HYPEP4,68,25,16,9,64.0
unique marker genes,OBINH4,104,34,17,17,50.0
unique marker genes,TEGLU16,503,12,1,11,8.33
unique marker genes,HBSER2,37,27,21,6,77.78
unique marker genes,MEGLU9,84,8,3,5,37.5
unique marker genes,HBGLU2,373,17,2,15,11.76
unique marker genes,MEGLU3,40,15,12,3,80.0
unique marker genes,TEGLU22,813,44,2,42,4.55
unique marker genes,TEINH5,88,23,13,10,56.52
unique marker genes,HBCHO3,90,37,16,21,43.24
unique marker genes,MEINH7,41,26,22,4,84.62
unique marker genes,PER1,27,103,85,18,82.52
unique marker genes,SYNOR2,27,27,19,8,70.37
unique marker genes,HBCHO1,58,82,61,21,74.39
unique marker genes,SYNOR5,13,30,28,2,93.33
unique marker genes,SCHW,31,49,41,8,83.67
unique marker genes,ENTG7,153,48,26,22,54.17
unique marker genes,MSN4,96,49,23,26,46.94
unique marker genes,TEGLU4,157,48,11,37,22.92
unique marker genes,TEGLU15,703,17,1,16,5.88
unique marker genes,SYCHO2,41,36,25,11,69.44
unique marker genes,HBSER5,86,18,9,9,50.0
unique marker genes,HYPEP6,49,30,22,8,73.33
unique marker genes,MFOL2,142,83,21,62,25.3
unique marker genes,TEGLU12,370,15,1,14,6.67
unique marker genes,HBNOR,119,71,40,31,56.34
unique marker genes,DEINH8,357,29,4,25,13.79
unique marker genes,DGNBL1,22,22,19,3,86.36
unique marker genes,MEINH11,445,12,2,10,16.67
unique marker genes,ENTG5,14,58,54,4,93.1
unique marker genes,HBINH7,248,51,13,38,25.49
unique marker genes,TEINH8,40,36,26,10,72.22
unique marker genes,TEGLU7,384,108,12,96,11.11
unique marker genes,TEINH9,47,27,17,10,62.96
unique marker genes,MEGLU14,83,19,10,9,52.63
unique marker genes,HBINH1,139,124,57,67,45.97
unique marker genes,TEINH15,135,33,15,18,45.45
unique marker genes,PER2,29,56,52,4,92.86
unique marker genes,TEGLU10,187,63,9,54,14.29
unique marker genes,TEINH1,129,38,11,27,28.95
unique marker genes,CBPC,18,90,84,6,93.33
unique marker genes,PSNF1,13,30,25,5,83.33
unique marker genes,HBADR,67,23,21,2,91.3
unique marker genes,HBGLU5,107,14,4,10,28.57
unique marker genes,DEGLU2,117,57,16,41,28.07
unique marker genes,SYNOR3,27,94,73,21,77.66
unique marker genes,TEGLU11,152,76,24,52,31.58
unique marker genes,TEINH11,55,53,31,22,58.49
unique marker genes,MGL2,71,92,65,27,70.65
unique marker genes,ACTE2,271,105,16,89,15.24
unique marker genes,MEINH14,235,72,19,53,26.39
unique marker genes,RGDG,416,40,9,31,22.5
unique marker genes,MEGLU5,57,18,11,7,61.11
unique marker genes,HBGLU7,29,52,36,16,69.23
unique marker genes,HBINH9,695,12,1,11,8.33
unique marker genes,CBINH2,23,102,83,19,81.37
unique marker genes,HYPEP7,13,74,68,6,91.89
unique marker genes,MGL1,173,114,41,73,35.96
unique marker genes,MEINH8,33,30,20,10,66.67
unique marker genes,OBDOP1,18,30,23,7,76.67
unique marker genes,MEINH12,172,30,15,15,50.0
unique marker genes,MEINH13,35,7,5,2,71.43
unique marker genes,DEGLU3,184,68,17,51,25.0
unique marker genes,OBNBL1,675,13,2,11,15.38
unique marker genes,PVM1,37,94,77,17,81.91
